NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
142,"31","5","24","10","6","26","14","399","59","309","136","73","354","191"
143,"1","2","2","1","1","2","0","6","11","15","6","9","14","3"
144,"4","9","1","3","1","2","2","32","83","11","33","6","17","25"
145,"6","2","2","2","4","2","2","38","14","14","11","26","14","13"
146,"26","14","15","9","13","16","20","165","95","97","62","88","112","135"
147,"17","5","13","3","8","7","12","173","57","137","33","86","80","132"
148,"3","1","3","1","2","2","3","24","11","24","8","21","21","27"
149,"1","1","8","0","2","3","2","3","4","35","1","7","12","8"
150,"9","9","10","8","9","9","14","59","60","65","56","63","70","112"
151,"2","1","1","0","2","5","5","19","13","14","5","23","63","60"
152,"16","2","14","13","8","14","8","47","7","41","37","26","47","27"
153,"7","2","3","4","4","6","5","81","20","37","51","52","96","76"
154,"4","6","6","4","3","6","5","46","63","68","50","37","70","54"
155,"18","11","11","14","8","10","5","172","113","112","143","118","145","112"
156,"12","8","11","15","8","7","10","130","92","130","192","100","102","151"
157,"73","25","36","36","13","16","11","335","99","103","104","65","115","95"
158,"20","10","22","13","14","11","20","252","135","279","170","183","146","272"
159,"46","14","42","31","27","25","42","171","53","162","124","112","133","223"
160,"18","15","19","24","14","17","22","204","169","205","262","157","191","251"
161,"0","0","0","0","1","1","0","3","1","4","0","6","11","2"
162,"30","14","30","16","20","24","22","211","96","211","112","137","180","163"
163,"26","9","9","3","4","4","6","142","51","47","17","33","40","52"
164,"15","10","16","8","8","10","22","278","179","286","136","151","179","363"
165,"7","11","12","12","5","4","10","61","104","110","106","44","38","103"
166,"7","4","4","4","3","8","21","36","22","24","22","17","45","123"
167,"5","4","6","3","5","11","16","19","14","21","11","19","49","72"
168,"21","14","15","24","12","21","25","132","86","93","153","78","136","161"
169,"0","0","0","0","0","2","1","2","1","3","1","1","21","9"
170,"1","0","1","0","2","8","2","4","2","5","2","10","50","15"
171,"2","0","3","0","2","9","6","10","2","12","1","12","45","29"
172,"0","0","1","1","1","2","1","4","3","13","6","16","36","32"
